"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"flairNLP/flair","https://github.com/flairNLP/flair","stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","stanfordnlp","Python","7784","deep-learning","1","1197.85","True","0.3846","0","1","0.8668","1","1","0.6667","topic:named-entity-recognition language:Python stars:>=50 | topic:natural-language-processing language:Python stars:>=50","Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
"flairNLP/flair","https://github.com/flairNLP/flair","Hironsan/anago","https://github.com/Hironsan/anago","Hironsan","Python","1486","deep-learning","2","1098.79","True","0.4","0","1","0.5074","1","1","0.3333","topic:named-entity-recognition language:Python stars:>=50","Bidirectional LSTM-CRF and ELMo for Named-Entity Recognition, Part-of-Speech Tagging and so on."
"flairNLP/flair","https://github.com/flairNLP/flair","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33539","deep-learning","3","1064.23","True","0.1905","0","1","0.816","1","1","1","topic:machine-learning language:Python stars:>=50 | topic:named-entity-recognition language:Python stars:>=50 | topic:natural-language-processing language:Python stars:>=50 | topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"flairNLP/flair","https://github.com/flairNLP/flair","piskvorky/gensim","https://github.com/piskvorky/gensim","piskvorky","Python","16403","deep-learning","4","1059.45","True","0.2105","0","1","0.9713","1","1","0.6667","topic:machine-learning language:Python stars:>=50 | topic:natural-language-processing language:Python stars:>=50","Topic Modelling for Humans"
"flairNLP/flair","https://github.com/flairNLP/flair","chakki-works/seqeval","https://github.com/chakki-works/seqeval","chakki-works","Python","1183","deep-learning","5","1030.13","True","0.3333","0","1","0.4579","1","1","0.3333","topic:named-entity-recognition language:Python stars:>=50","A Python framework for sequence labeling evaluation(named-entity recognition, pos tagging, etc...)"
"flairNLP/flair","https://github.com/flairNLP/flair","Franck-Dernoncourt/NeuroNER","https://github.com/Franck-Dernoncourt/NeuroNER","Franck-Dernoncourt","Python","1723","deep-learning","6","989.86","True","0.2727","0","1","0.5395","1","1","0.3333","topic:named-entity-recognition language:Python stars:>=50","Named-entity recognition using neural networks. Easy-to-use and state-of-the-art results."
"flairNLP/flair","https://github.com/flairNLP/flair","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77593","deep-learning","7","989.5","True","0.1429","0","1","0.6339","1","1","1","topic:machine-learning language:Python stars:>=50 | topic:natural-language-processing language:Python stars:>=50 | topic:deep-learning stars:>=100","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。"
"flairNLP/flair","https://github.com/flairNLP/flair","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31102","deep-learning","8","984.13","True","0.1538","0","1","0.8324","1","1","0.6667","topic:machine-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
"flairNLP/flair","https://github.com/flairNLP/flair","huggingface/huggingface_hub","https://github.com/huggingface/huggingface_hub","huggingface","Python","3566","deep-learning","9","979.73","True","0.2308","0","1","0.6974","1","1","0.3333","topic:natural-language-processing language:Python stars:>=50","The official Python client for the Hugging Face Hub."
"flairNLP/flair","https://github.com/flairNLP/flair","eriklindernoren/ML-From-Scratch","https://github.com/eriklindernoren/ML-From-Scratch","eriklindernoren","Python","31410","deep-learning","10","959.58","True","0.0714","0","1","0.8302","1","1","1","topic:machine-learning language:Python stars:>=50 | f language:Python stars:>=50 | topic:deep-learning stars:>=100","Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning."
"flairNLP/flair","https://github.com/flairNLP/flair","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64059","deep-learning","11","946.78","True","0.1429","0","1","0.6755","1","1","0.6667","topic:machine-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Deep Learning for humans"
"flairNLP/flair","https://github.com/flairNLP/flair","JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","JaidedAI","Python","29389","deep-learning","12","933.53","True","0.0952","0","1","0.8447","1","1","0.6667","topic:machine-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc."
"flairNLP/flair","https://github.com/flairNLP/flair","deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","deepspeedai","Python","42238","deep-learning","13","928.77","True","0.1053","0","1","0.7659","1","1","0.6667","topic:machine-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
"flairNLP/flair","https://github.com/flairNLP/flair","sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","sebastianruder","Python","22971","nlp","14","927.64","True","0.2727","0","1","0.8982","1","0","1","topic:machine-learning language:Python stars:>=50 | topic:named-entity-recognition language:Python stars:>=50 | topic:natural-language-processing language:Python stars:>=50","Repository to track the progress in Natural Language Processing (NLP), including the datasets and the current state-of-the-art for the most common NLP tasks."
"flairNLP/flair","https://github.com/flairNLP/flair","luopeixiang/named_entity_recognition","https://github.com/luopeixiang/named_entity_recognition","luopeixiang","Python","2284","deep-learning","15","923.86","True","0.1875","0","1","0.6007","1","1","0.3333","topic:named-entity-recognition language:Python stars:>=50","中文命名实体识别（包括多种模型：HMM，CRF，BiLSTM，BiLSTM+CRF的具体实现）"
"flairNLP/flair","https://github.com/flairNLP/flair","autogluon/autogluon","https://github.com/autogluon/autogluon","autogluon","Python","10276","deep-learning","16","920.25","True","0.12","0","1","0.9271","1","1","0.3333","topic:natural-language-processing language:Python stars:>=50","Fast and Accurate ML in 3 Lines of Code"
"flairNLP/flair","https://github.com/flairNLP/flair","huggingface/autotrain-advanced","https://github.com/huggingface/autotrain-advanced","huggingface","Python","4572","deep-learning","17","919.94","True","0.1538","0","1","0.7513","1","1","0.3333","topic:natural-language-processing language:Python stars:>=50","🤗 AutoTrain Advanced"
"flairNLP/flair","https://github.com/flairNLP/flair","crownpku/Information-Extraction-Chinese","https://github.com/crownpku/Information-Extraction-Chinese","crownpku","Python","2264","deep-learning","18","918.42","True","0.1818","0","1","0.5987","1","1","0.3333","topic:named-entity-recognition language:Python stars:>=50","Chinese Named Entity Recognition with IDCNN/biLSTM+CRF, and Relation Extraction with biGRU+2ATT 中文实体识别与关系提取"
"flairNLP/flair","https://github.com/flairNLP/flair","ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57329","deep-learning","19","917.17","True","0.1053","0","1","0.6996","1","1","0.6667","topic:machine-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite"
"flairNLP/flair","https://github.com/flairNLP/flair","deepfakes/faceswap","https://github.com/deepfakes/faceswap","deepfakes","Python","55203","deep-learning","20","916.72","True","0.0476","0","1","0.7078","1","1","1","topic:machine-learning language:Python stars:>=50 | f language:Python stars:>=50 | topic:deep-learning stars:>=100","Deepfakes Software For All"
"flairNLP/flair","https://github.com/flairNLP/flair","PaddlePaddle/models","https://github.com/PaddlePaddle/models","PaddlePaddle","Python","6943","deep-learning","21","909.85","True","0.125","0","1","0.842","1","1","0.3333","topic:natural-language-processing language:Python stars:>=50","Officially maintained, supported by PaddlePaddle, including CV, NLP, Speech, Rec, TS, big models and so on."
"flairNLP/flair","https://github.com/flairNLP/flair","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38297","deep-learning","22","909.76","True","0.08","0","1","0.7872","1","1","0.6667","topic:machine-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","We write your reusable computer vision tools. 💜"
"flairNLP/flair","https://github.com/flairNLP/flair","namisan/mt-dnn","https://github.com/namisan/mt-dnn","namisan","Python","2257","deep-learning","23","909.66","True","0.2","0","1","0.5981","0.8","1","0.3333","topic:named-entity-recognition language:Python stars:>=50","Multi-Task Deep Neural Networks for Natural Language Understanding"
"flairNLP/flair","https://github.com/flairNLP/flair","onnx/onnx","https://github.com/onnx/onnx","onnx","Python","20757","deep-learning","24","905.77","True","0.1053","0","1","0.9202","1","1","0.3333","topic:machine-learning language:Python stars:>=50","Open standard for machine learning interoperability"
"flairNLP/flair","https://github.com/flairNLP/flair","devnag/pytorch-generative-adversarial-networks","https://github.com/devnag/pytorch-generative-adversarial-networks","devnag","Python","1540","deep-learning","25","903.78","True","0.1818","0","1","0.5151","1","1","0.3333","very language:Python stars:>=50","A very simple generative adversarial network (GAN) in PyTorch"
"flairNLP/flair","https://github.com/flairNLP/flair","jiesutd/NCRFpp","https://github.com/jiesutd/NCRFpp","jiesutd","Python","1897","deep-learning","26","903.06","True","0.2","0","1","0.5604","0.8","1","0.3333","topic:named-entity-recognition language:Python stars:>=50","NCRF++, a Neural Sequence Labeling Toolkit. Easy use to any sequence labeling tasks (e.g. NER, POS, Segmentation). It includes character LSTM/CNN, word LSTM/CNN and softmax/CRF components. "
"flairNLP/flair","https://github.com/flairNLP/flair","Determined22/zh-NER-TF","https://github.com/Determined22/zh-NER-TF","Determined22","Python","2340","deep-learning","27","896.03","False","0.1","0","1","0.6059","1","1","0.6667","topic:named-entity-recognition language:Python stars:>=50 | very language:Python stars:>=50","A very simple BiLSTM-CRF model for Chinese Named Entity Recognition 中文命名实体识别 (TensorFlow)"
"flairNLP/flair","https://github.com/flairNLP/flair","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44428","deep-learning","28","892.12","False","0.0667","0","1","0.755","1","1","0.6667","topic:machine-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Streamlit — A faster way to build and share data apps."
"flairNLP/flair","https://github.com/flairNLP/flair","ultralytics/ultralytics","https://github.com/ultralytics/ultralytics","ultralytics","Python","56692","deep-learning","29","892.08","False","0.0769","0","1","0.702","1","1","0.6667","topic:machine-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Ultralytics YOLO 🚀"
"flairNLP/flair","https://github.com/flairNLP/flair","buppt/ChineseNER","https://github.com/buppt/ChineseNER","buppt","Python","1464","deep-learning","30","888.22","False","0.1667","0","1","0.5041","1","1","0.3333","topic:named-entity-recognition language:Python stars:>=50","中文命名实体识别，实体抽取，tensorflow，pytorch，BiLSTM+CRF"
